program,school,level,phd,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
African-American Studies,WEINBERG ARTS AND SCIENCES,program,1,1,,,6,,5,,4,5,5,2,2
Anthropology,WEINBERG ARTS AND SCIENCES,program,1,4,3,7,8,5,7,6,4,9,6,7,3
Applied Physics,WEINBERG ARTS AND SCIENCES,program,1,,,,,,,,12,11,2,6,8
Art History,WEINBERG ARTS AND SCIENCES,program,1,2,2,6,2,2,2,8,2,5,3,1,2
Biological Sciences,WEINBERG ARTS AND SCIENCES,program,1,24,11,14,13,13,13,18,13,19,23,14,17
Chemistry,WEINBERG ARTS AND SCIENCES,program,1,44,37,46,44,39,47,34,34,46,38,43,56
Comparative Literature,WEINBERG ARTS AND SCIENCES,program,1,2,2,2,3,5,3,2,6,6,3,2,
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,program,1,2,1,2,4,4,4,3,3,5,3,5,6
Economics,WEINBERG ARTS AND SCIENCES,program,1,15,25,18,18,16,21,11,20,25,20,19,16
English,WEINBERG ARTS AND SCIENCES,program,1,4,2,9,6,2,5,5,11,6,11,6,8
French and Italian,WEINBERG ARTS AND SCIENCES,program,1,1,1,1,2,2,1,3,2,2,1,,
German,WEINBERG ARTS AND SCIENCES,program,1,,,,1,1,1,1,,1,1,2,
History,WEINBERG ARTS AND SCIENCES,program,1,12,10,6,8,10,15,9,13,16,5,10,9
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,program,1,,,,,,,,,,,,
Linguistics,WEINBERG ARTS AND SCIENCES,program,1,5,2,2,,4,5,2,3,1,3,3,1
Mathematics,WEINBERG ARTS AND SCIENCES,program,1,2,12,8,7,4,11,12,9,8,3,12,10
Neuroscience,WEINBERG ARTS AND SCIENCES,program,1,27,20,27,21,18,22,17,15,18,23,17,17
Philosophy,WEINBERG ARTS AND SCIENCES,program,1,5,2,6,1,6,2,6,2,4,3,4,6
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,program,1,7,13,10,16,12,10,15,11,14,12,11,11
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,program,1,,,,,1,1,1,5,,1,2,
Political Science,WEINBERG ARTS AND SCIENCES,program,1,8,5,19,14,15,11,11,11,10,15,11,10
Psychology,WEINBERG ARTS AND SCIENCES,program,1,9,11,9,18,12,13,9,15,9,12,8,12
Religion,WEINBERG ARTS AND SCIENCES,program,1,1,2,2,5,3,7,3,,,,,
Slavic Languages,WEINBERG ARTS AND SCIENCES,program,1,3,1,2,1,1,1,3,1,1,,2,2
Sociology,WEINBERG ARTS AND SCIENCES,program,1,14,5,11,7,9,7,13,18,11,6,9,12
Spanish and Portuguese,WEINBERG ARTS AND SCIENCES,program,1,,,,,,,,4,,1,2,4
Statistics,WEINBERG ARTS AND SCIENCES,program,1,3,1,4,6,4,3,3,3,7,4,5,6
WEINBERG ARTS AND SCIENCES,WEINBERG ARTS AND SCIENCES,school,NA,195,166,211,210,186,219,196,217,239,207,204,220
Audiology,COMMUNICATION,program,0,14,13,12,8,11,16,10,15,10,12,23,16
Audiology and Hearing Science,COMMUNICATION,program,1,,,,,,,,,,,,
Comm. Science and Disorders,COMMUNICATION,program,1,2,7,10,4,5,6,5,3,4,5,5,8
