program,school,level,degree,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
African-American Studies,WEINBERG ARTS AND SCIENCES,program,MA,1,4,4,2,3,4,4,1,4,1
Anthropology,WEINBERG ARTS AND SCIENCES,program,MA,2,2,2,1,3,6,5,8,1,8
Art History,WEINBERG ARTS AND SCIENCES,program,MA,14,5,1,2,2,3,5,6,2,3
Art Theory and Practice,WEINBERG ARTS AND SCIENCES,program,MFA,4,6,5,5,5,4,4,2,5,5
Biological Sciences,WEINBERG ARTS AND SCIENCES,program,MS,3,1,,2,2,3,1,,1,1
Chemistry,WEINBERG ARTS AND SCIENCES,program,MS,12,10,13,7,10,11,12,6,4,7
Comparative Literary Studies,WEINBERG ARTS AND SCIENCES,program,MA,1,1,1,1,2,1,3,1,2,1
Creative Writing,WEINBERG ARTS AND SCIENCES,program,MFA,,,,,,,,,5,3
Economics,WEINBERG ARTS AND SCIENCES,program,MA,12,19,23,14,14,25,30,34,32,48
English,WEINBERG ARTS AND SCIENCES,program,MA,5,17,7,3,12,5,6,6,15,7
French and Italian,WEINBERG ARTS AND SCIENCES,program,MA,1,,,,,,1,1,1,
German,WEINBERG ARTS AND SCIENCES,program,MA,,,,,,,,,2,
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,program,MS,7,3,2,2,2,1,3,6,5,
History,WEINBERG ARTS AND SCIENCES,program,MA,11,9,9,8,13,9,10,4,5,14
Linguistics,WEINBERG ARTS AND SCIENCES,program,MA,3,5,4,1,4,2,1,,,3
Mathematics,WEINBERG ARTS AND SCIENCES,program,MA/MS,,6,3,2,1,,2,2,4,3
Mathematical Methods in Soc. Sci.,WEINBERG ARTS AND SCIENCES,program,MS,,,,,,,,,,
Neurobiology and Physiology,WEINBERG ARTS AND SCIENCES,program,MS,5,4,9,7,8,7,8,9,7,13
Philosophy,WEINBERG ARTS AND SCIENCES,program,MA,2,1,4,2,3,5,5,1,2,
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,program,MS,8,9,6,9,9,4,8,4,11,9
Political Science,WEINBERG ARTS AND SCIENCES,program,MA,9,11,9,14,9,7,21,13,12,5
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,program,MS,6,11,5,7,11,9,13,15,32,4
Psychology,WEINBERG ARTS AND SCIENCES,program,MA/MS,20,10,8,17,7,12,9,12,12,8
